65,0.3898,82.8167,10.5,F,,
66,0.3934,81.1804, 9.9,A,,
67,0.4101,80.1009, 9.5,F,,
68,0.4142,83.6176,11.5,G,,
69,0.4160,84.7542,10.9,G,,
70,0.4179,80.8811,10.7,K,,
71,0.4181,80.6444,10.4,G,,
72,0.4273,85.9329,11.0,G,,
73,0.4303,82.8605,11.3,K,,
74,0.4343,86.0351,11.7,K,,
75,0.4370,81.9962,10.8,G,,
76,0.4377,88.0393,11.0,G,,
77,0.4401,82.2240,11.1,G,,
78,0.4431,82.9721,10.9,K,,
79,0.4472,85.6424,11.6,F,,
80,0.4520,80.0522, 6.6,B,,
81,0.4551,82.6995,10.7,F,,
82,0.4566,80.3699,10.4,G,,
83,0.4698,84.2733,10.9,G,,
84,0.4788,86.8878,10.9,F,,
85,0.4861,81.8807,11.1,K,,
86,0.4935,87.3746,11.0,G,,
87,0.4942,82.6740,11.4,M,,
88,0.4964,86.0020,10.8,G,,
89,0.5010,84.1404,11.0,A,,
90,0.5068,86.9803,11.5,F,,
91,0.5140,81.3751, 8.7,A,,
92,0.5181,85.0267,11.1,F,,
93,0.5240,82.5950,11.8,M,,
94,0.5252,89.6648,11.0,G,,
95,0.5334,80.5360,10.3,A,,
96,0.5369,82.9125,10.8,F,,
97,0.5647,81.7710,10.9,F,,
98,0.5748,85.0454,10.5,A,,
99,0.5751,83.5264,11.5,F,,
100,0.5844,84.9889, 9.6,G,,
101,0.5880,86.1085,10.3,G,,
102,0.5931,83.6316, 8.3,A,,
103,0.5935,80.6629,10.7,F,,
104,0.5952,86.3180, 8.9,G,,
105,0.6011,83.0934,10.4,G,,
106,0.6123,86.7086,10.6,K,,
107,0.6186,84.2264,11.2,K,,
108,0.6203,82.1279,11.1,G,,
109,0.6251,85.0927, 9.2,K,,
110,0.6307,80.1580, 9.8,K,,
111,0.6373,84.6750, 8.0,F,,
112,0.6464,85.9688, 8.6,A,,
113,0.6510,87.7056,11.3,K,,
114,0.6513,80.1570,10.5,A,,
115,0.6597,84.7478, 8.9,F,,
116,0.6598,82.1940,11.6,K,,
117,0.6624,89.4444, 9.0,G,,
118,0.6631,82.4938, 6.4,F,,
119,0.6637,87.7967, 9.4,F,,
120,0.6672,84.7521, 9.3,F,,
121,0.6944,80.1509,10.5,K,,
122,0.6947,86.3939,10.3,G,,
123,0.7008,85.3472,11.6,K,,
124,0.7049,80.1056, 9.8,G,,
125,0.7065,86.2641,10.1,A,,
126,0.7097,84.3727, 9.9,F,,
127,0.7114,81.7898, 9.4,F,,
128,0.7120,85.2372,10.2,F,,
130,0.7261,86.8721,10.9,F,,
131,0.7301,84.2452,11.3,F,,
132,0.7323,80.0735,11.3,K,,
133,0.7390,82.3207,10.7,K,,
134,0.7395,85.9189,10.8,G,,
135,0.7494,80.8955, 9.9,F,,
137,0.7714,86.4910,11.9,G,,
138,0.7752,80.1250,11.5,A,,
139,0.7842,81.1466, 9.5,G,,
140,0.7900,85.0499, 9.2,A,,
141,0.7979,83.1331, 9.7,F,,
142,0.8070,82.4292, 9.9,F,,
143,0.8179,86.4748,10.5,F,,
144,0.8194,88.1575,11.6,G,,
145,0.8215,81.9603,10.0,F,,
146,0.8233,86.9397, 9.0,A,,
147,0.8266,83.8770,11.3,A,,
148,0.8346,81.9672, 8.9,G,,
149,0.8428,81.6071, 9.5,A,,
150,0.8463,80.6814,11.4,G,,
151,0.8498,84.6354, 9.4,F,,
152,0.8656,82.0069,11.4,K,,
154,0.8742,83.2277,12.0,K,,
155,0.8838,81.7431,10.4,G,,
156,0.9001,82.7863, 9.5,A,,
157,0.9006,81.9143,10.4,K,,
158,0.9024,83.1135,10.2,F,,
159,0.9058,82.7571,11.2,K,,
160,0.9110,87.8230, 9.7,F,,
161,0.9147,83.7073, 5.6,A,,
162,0.9197,81.2818,10.3,K,,
163,0.9211,85.7027, 9.3,K,,
164,0.9269,80.6600,10.1,G,,
165,0.9363,85.4592, 8.4,A,,
166,0.9398,85.3021, 9.9,G,,
167,0.9543,86.9172,10.5,F,,
168,0.9562,83.7081, 9.7,A,,
170,0.9579,82.6873, 9.4,K,,
172,0.9698,80.1136,10.2,G,,
174,0.9780,80.7652,10.1,G,,
175,0.9850,87.8814,12.0,G,,
176,0.9874,83.1026, 8.8,F,,
177,0.9890,82.7892,10.3,A,,
178,0.9911,83.6830,10.1,A,,
179,0.9933,85.8311,10.8,F,,
180,0.9967,87.8902,10.5,A,,
